step,numinfected_status,length_status,numrecovered_status
0,1,14771,0
3,17,14771,0
6,314,14771,0
9,3465,14771,0
12,5060,14771,0
15,13814,14771,4
18,14704,14769,65
21,13340,14765,1425
24,11210,14760,3550
27,4942,14750,9808
30,1218,14747,13529
33,1924,14747,12823
36,2524,14747,12223
39,2950,14747,11797
42,3038,14746,11708
45,2923,14745,11822
48,2837,14745,11908
51,2824,14744,11920
54,2830,14743,11913
57,2850,14742,11892
60,2895,14741,11846
63,2895,14740,11845
66,2897,14738,11841
69,2925,14734,11809
72,2894,14731,11837
75,2912,14731,11819
78,2900,14729,11829
81,2849,14729,11880
84,2853,14728,11875
87,2846,14727,11881
90,2877,14727,11850
93,2915,14727,11812
96,2873,14726,11853
99,2938,14725,11787
