step,numinfected_status,length_status,numrecovered_status
0,1,14771,0
3,17,14771,0
6,314,14771,0
9,3465,14771,0
12,5060,14771,0
15,13814,14771,4
18,14716,14771,55
21,13546,14766,1220
24,12536,14762,2226
27,7766,14745,6979
30,7470,14737,7267
33,10339,14737,4398
36,11429,14735,3306
39,11851,14734,2883
42,10461,14728,4267
45,9260,14720,5460
48,9716,14717,5001
51,10405,14716,4311
54,10940,14714,3774
57,10746,14707,3961
60,10200,14705,4505
63,10029,14702,4673
66,10131,14700,4569
69,10433,14699,4266
72,10551,14694,4143
75,10397,14691,4294
78,10190,14687,4497
81,10109,14674,4565
84,10181,14668,4487
87,10259,14668,4409
90,10258,14668,4410
93,10300,14664,4364
96,10350,14658,4308
99,10315,14655,4340
